biorxiv_doi,published_doi,title,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,uses_contractions,uses_exclamation_marks,uses_signposting_phrases,uses_vague_verbs,num_vague_verbs
10.1101/2024.06.06.597786,10.1126/science.adr9608,Mapping Somatosensory Afferent Circuitry to Bone Identifies Neurotrophic Signals Required for Fracture Healing,43.36549645625962,11.104919980386846,14.24618010956393,False,False,True,True,8
10.1101/2024.06.07.597917,10.1038/s41556-025-01853-0,p53 enables phospholipid headgroup scavenging,39.21659666473701,12.219542604462365,15.496646060541247,False,False,True,True,17
10.1101/2024.06.09.598134,10.1093/reprod/xaaf026,Age-associated increased stiffness of the ovarian microenvironment impairs follicle development and oocyte quality and rapidly alters follicle gene expression,45.096864712437196,10.79971421740063,14.664830370732403,False,False,True,True,8
10.1101/2024.06.14.599120,10.1038/s41467-025-68109-1,Rad51 determines pathway usage in post-replication repair,47.47215203233415,10.724528961071318,14.20620101139112,False,False,True,True,20
10.1101/2024.06.16.599248,10.1037/xge0001892,Spatial Perspective Taking is Distinct from Cognitive and Affective Perspective Taking,38.36826827950907,11.412402892475175,14.829506653759012,False,False,False,True,9
10.1101/2024.06.21.600110,10.1038/s41598-025-34926-z,EPITHELIAL REMODELING AND MICROBIAL DYSBIOSIS IN THE LOWER RESPIRATORY TRACT OF VITAMIN A-DEFICIENT MOUSE LUNGS,43.72632876526461,10.822209226594303,14.026257801899593,True,True,True,True,12
10.1101/2024.06.26.600785,10.7554/eLife.107039,CCDC32 stabilizes clathrin-coated pits and drives their invagination,39.337445384073305,11.416152219873151,14.756730091613813,False,False,True,True,5
10.1101/2024.07.01.601472,10.1186/s13059-025-03917-8,Unravelling the progression of the zebrafish primary body axis with reconstructed spatiotemporal transcriptomics,44.64560940879912,11.052978536894429,14.23051237682928,True,True,True,True,21
10.1101/2024.07.02.601807,10.1038/s41588-025-02478-7,Compressive Pangenomics Using Mutation-Annotated Networks,37.6685032455311,12.258847553380647,15.608687626759773,False,False,True,True,50
10.1101/2024.07.08.602551,10.1242/dev.204584,An avidity-driven mechanism of extracellular BMP regulation by Twisted gastrulation,46.9229700359989,10.77846669622734,14.093233628689553,False,True,True,True,11
10.1101/2024.07.08.602611,10.1242/dev.205459,Endogenous FGFs drive ERK-dependent cell fate patterning in 2D human gastruloids,42.5511927082172,11.773550844903703,15.198554073794853,False,True,True,True,5
10.1101/2024.07.26.605262,10.1038/s42003-025-09425-6,Sensorimotor restriction affects sleep-related motor memory consolidation through altered slow oscillation-spindle coupling.,37.9212783911114,12.19186099713972,14.856631789235799,True,True,False,True,13
10.1101/2024.07.27.605449,10.1186/s13059-025-03926-7,Deep-learning prediction of gene expression from personal genomes,38.99615287829599,12.415487536325589,15.68839956525165,False,False,True,True,9
10.1101/2024.08.09.607358,10.1111/geb.70184,The Performance and Potential of Deep Learning for Predicting Species Distributions,43.08291356294902,11.302115266384742,13.994362188142185,False,True,True,True,16
10.1101/2024.08.20.608778,10.1126/sciadv.adw5022,Mechanical control of the insect extracellular matrix nanostructure,48.972612744986435,10.240166384947251,13.25319406760215,False,False,True,True,8
10.1101/2024.08.22.609101,10.1007/s12288-025-02279-2,Investigating the influence of iron parameters in regulating platelet recovery in Apheresis Platelet Donors,46.26134837588265,10.203730243387316,12.601611901961546,False,False,False,False,0
10.1101/2024.08.22.609246,10.1093/gbe/evag007,Correlated evolutionary rates reveal novel components and cross-compartment connectivity in plant proteostasis systems,38.48443322554084,11.435178924151348,14.564852823437898,False,False,True,True,8
10.1101/2024.08.26.609718,10.1038/s42003-025-09479-6,VISTA Uncovers Missing Gene Expression and Spatial-induced Information for Spatial Transcriptomic Data Analysis,43.20752956648664,11.612681855978991,14.746252008712304,False,True,True,True,14
10.1101/2024.08.27.609375,10.1038/s41418-025-01645-x,The PIDDosome controls cardiomyocyte polyploidization during postnatal heart development,41.782919729160625,12.301549258425467,16.003204916613342,False,False,True,True,6
10.1101/2024.09.02.610777,10.1126/science.ads9530,Deep contrastive learning enables genome-wide virtual screening,41.034972567283404,11.028892877760189,14.125129971536516,False,False,True,True,12
10.1101/2024.09.03.610982,10.1038/s42003-025-09496-5,Cholinergic signaling differentially regulates song premotor circuits to stabilize songs in songbirds,40.14943564545075,12.175776790217771,15.43363229400801,False,False,False,True,4
10.1101/2024.09.03.611057,10.3390/cells15020118,BRD4 phosphorylation regulates the structure of chromatin nanodomains,35.4625424575425,12.423366633366633,15.80899100899101,False,True,True,True,1
10.1101/2024.09.08.611926,10.21105/joss.08759,genomesizeR: An R package for genome size prediction,36.182514934289145,12.042851150984305,14.060126446674147,False,True,False,True,15
10.1101/2024.09.09.612073,10.7554/eLife.103512,Barcode activity in a recurrent network model of the hippocampus enables efficient memory binding,49.17140255017338,10.11967816766995,13.167254780163312,True,True,True,True,27
10.1101/2024.09.10.612337,10.1038/s41467-025-68280-5,EPOP Restricts PRC2.1 Targeting to Chromatin by Directly Modulating Enzyme Complex Dimerization,51.79459175358542,9.27652777777778,12.274008465128583,False,False,True,True,12
10.1101/2024.09.11.612086,10.1126/sciadv.aea1429,Identification of Proteins Influencing CRISPR-Associated Transposases for Enhanced Genome Editing,34.30680607718318,12.617934910133496,15.93927907789356,True,False,True,True,13
10.1101/2024.09.12.612702,10.1007/s10237-025-02022-w,Capturing sclera anisotropy using direct collagen fiber models. Linking microstructure to macroscopic mechanical properties.,32.576313505177524,13.037155391009456,15.956936192535416,True,True,True,True,19
10.1101/2024.09.13.612835,10.1093/nar/gkaf1488,RoCi - A Single Step Multi-Copy Integration System Based on Rolling-Circle Replication,48.31534939799593,10.956471729754664,14.37141447383015,False,False,True,True,15
10.1101/2024.09.13.612990,10.1126/sciadv.adx3969,Molecular computation at equilibrium via programmable entropy,32.196195973965246,12.821332636573537,15.990963650259538,True,False,True,True,17
10.1101/2024.09.19.613896,10.1093/bioadv/vbag008,CanDrivR-CS: A Cancer-Specific Machine Learning Framework for Distinguishing Recurrent and Rare Variants,38.55429437655346,11.629932787903893,14.23384009942005,False,False,True,True,6
10.1101/2024.09.25.615081,10.1091/mbc.E24-10-0445,The Senescence-Associated-Secretory Phenotype constituting HIF-1α activation is independent of micronuclei induction and associated cGAS-mediated interferon response,30.779838439506108,12.991384104314623,16.879622693519973,False,False,False,True,6
10.1101/2024.09.26.614923,10.1038/s41467-025-68174-6,Diverse defense systems synergistically drive the microbe-virus arms race in deep sea cold seeps,38.11876263251892,12.14750785489316,15.157135385367264,False,False,False,True,15
10.1101/2024.09.27.615364,10.1007/s00422-025-01029-x,Encoding of movement primitives and body posture through distributed proprioception in walking and climbing insects,48.96595571955393,10.990415054826194,14.067320259122546,False,True,True,True,19
10.1101/2024.10.03.616513,10.1172/jci.insight.187716,ENDOTHELIAL PROX1 INDUCES BLOOD-BRAIN BARRIER DISRUPTION IN THE CENTRAL NERVOUS SYSTEM,38.554226051496926,12.653154714448423,16.442669215750083,False,False,True,True,9
10.1101/2024.10.05.616794,10.1371/journal.pone.0339848,"Automated, Stress-Free, and Precise Measurement of Songbird Weight in Neuroscience Experiments",48.38980438055461,11.212366227963674,14.011353503958041,False,True,True,True,16
10.1101/2024.10.06.616844,10.1038/s42003-025-09409-6,An ancient lysozyme in placozoans,45.54487984994145,11.461889080475075,14.69696554111632,False,False,False,True,5
10.1101/2024.10.06.616889,10.7554/eLife.103725.3,Decoding the biogenesis of HIV-induced CPSF6 puncta and their fusion with the nuclear speckle,50.4350313552346,10.707156177505055,13.766100426550924,True,False,True,True,19
10.1101/2024.10.11.617736,10.1186/s13073-026-01599-w,Multimodal integration of single cell ATAC-seq data enables highly accurate delineation of clinically relevant tumor cell subpopulations,30.007358150439615,12.72141800393604,15.746590586108562,False,True,True,True,14
10.1101/2024.10.11.617791,10.1038/s41598-025-32879-x,Freely foraging macaques value information in ambiguous terrains,41.60609444077326,11.293869780249345,14.11727801100064,True,True,True,True,15
10.1101/2024.10.13.618113,10.1101/gad.352886.125,Independent control of neurogenesis and dorsoventral patterning by NKX2-2,35.999046380793544,13.005173755733576,15.502007542463765,True,True,True,True,4
10.1101/2024.10.17.618976,10.1126/science.adt0559,IDH-mutant gliomas arise from glial progenitor cells harboring the initial driver mutation,42.53548799918741,14.982406144916858,18.423317990529746,False,True,True,True,7
10.1101/2024.10.22.619604,10.7554/eLife.104374,Chemotherapy resistance due to epithelial-to-mesenchymal transition is caused by abnormal lipid metabolic balance,35.081687449370605,13.99607671093231,17.116668622779795,False,False,True,True,4
10.1101/2024.10.25.620274,10.1038/s41551-025-01563-w,Generation of T cells with reduced off-target cross-reactivities by engineering co-signalling receptors,50.557993855605986,9.834139260575682,12.955141128078498,False,False,True,True,6
10.1101/2024.10.27.620464,10.1371/journal.pbio.3003583,Foxi1 regulates multiple steps of mucociliary development and ionocyte specification through transcriptional and epigenetic mechanisms,44.67415796330141,10.413580945043773,13.468093751545073,False,False,False,True,7
10.1101/2024.10.28.620410,10.1371/journal.pone.0339667,LIMPACAT：Multi-Omics Attention Transformer for Immune Prediction in Liver Cancer Using Whole-Slide Imaging,19.323971302236856,14.865566585746492,17.76147043523496,False,True,True,True,20
10.1101/2024.10.29.620954,10.1186/s12859-025-06358-z,Predicting the pathway involvement of metabolites annotated in the MetaCyc knowledgebase,46.96706525922431,10.408506832364967,13.007401797685853,False,False,False,True,8
10.1101/2024.10.30.620813,10.1371/journal.pcbi.1013885,Overcoming the widespread flaws in the annotation of vertebrate selenoprotein genes in public databases,29.40285865627203,12.925308559564726,16.38354917095114,False,False,True,True,6
10.1101/2024.10.30.621164,10.1186/s12915-025-02492-5,The key role of cheaters in the persistence of cooperation,41.69526027210591,12.474452079270304,15.727193259635648,False,True,True,True,20
10.1101/2024.10.31.621279,10.7554/eLife.105287,Pupil dilation offers a time-window on prediction error,36.438235066724815,12.344969708865445,15.171620010619769,False,True,False,True,13
10.1101/2024.11.01.621525,10.7554/eLife.103788.3,"Differential destinations, dynamics, and functions of high- and low-order features in the feedback signal during object processing",34.97410863892361,13.025043485508395,16.43603027014697,False,False,False,True,8
10.1101/2024.11.03.621732,10.1080/07038992.2025.2608440,Mapping canopy foliar functional traits in a mixed temperate forest using imaging spectroscopy,46.57257456828887,10.489806384092102,13.468341182626899,False,True,True,True,13
10.1101/2024.11.06.622209,10.7554/eLife.104700,Female Moths Incorporate Plant Acoustic Emissions into Their Oviposition Decision,52.42900888202087,10.656963059121736,13.821654402011516,False,False,True,True,7
10.1101/2024.11.12.623285,10.1038/s41419-025-08210-x,Loss of TMEM55B modulates lipid metabolism through dysregulated lipophagy and mitochondrial function,43.68161154398959,10.778754689805591,13.619052506572778,True,False,True,True,7
10.1101/2024.11.13.623485,10.1038/s44387-025-00053-3,Uncertainty-aware genomic deep learning with knowledge distillation,24.694562805091238,14.204266615737208,17.34885667672308,False,True,True,True,25
10.1101/2024.11.15.623822,10.3233/CBM-240119,Pan-Cancer Genetic Profiles of Mitotic DNA Integrity Checkpoint Protein Kinases,35.824443919319094,12.866394334858356,15.936110936592232,False,True,False,True,13
10.1101/2024.11.17.624023,10.1101/gr.280425.125,Chromosome engineering to restore euploidy in cells harboring a complex rearrangement of chromosome 8,39.96101489381752,11.420741270421079,14.657519125499679,False,False,True,True,7
10.1101/2024.11.19.624303,10.5334/joc.474,Global and selective effects of auditory attention on arousal: insights from pupil dilation,41.30969019188029,11.305934921559949,14.666216858988992,False,True,False,True,13
10.1101/2024.11.20.624446,10.4103/NRR.NRR-D-25-00685,Broca's area responsible for speech production is regulated by lung functions,46.37382083917484,10.19699458347679,13.62151187081956,False,True,True,True,6
10.1101/2024.11.20.624451,10.1186/s12964-025-02649-3,Rho GTPases signaling mediates aggressiveness and differentiation in neuroblastoma tumors,32.46571520379089,12.647632402130824,16.09415882061447,False,False,True,True,8
10.1101/2024.11.22.624903,10.1126/sciadv.adv9396,Neuronal heterogeneity of normalization strength in a circuit model,39.78933566401636,11.755142472027956,14.451881681678328,False,True,True,True,11
10.1101/2024.11.26.625372,10.1038/s44318-025-00670-3,Epromoters bind key stress-related transcription factors to regulate clusters of stress response genes,40.3253858978853,11.678344672814223,15.037868038168028,True,False,True,True,12
10.1101/2024.11.30.626178,10.1038/s41559-025-02941-y,Deep conservation of cis-regulatory elements and chromatin organization in echinoderms uncover ancestral regulatory features of animal genomes,47.42269618880755,10.756144480814537,14.224070667305922,False,False,True,True,7
10.1101/2024.12.02.626352,10.3390/ijms27020661,Investigating the potential role of capsaicin in facilitating the spread of coxsackievirus B3 via extracellular vesicles,43.862417053274385,11.176363159842136,14.481007994636508,False,False,False,True,8
10.1101/2024.12.03.626543,10.1038/s42003-025-09494-7,Tmbim5 loss causes muscle atrophy in zebrafish without exacerbating mcu or slc8b1 knockout phenotypes,34.991553124608004,13.963973668632,16.451893301871436,False,False,True,True,7
10.1101/2024.12.03.626557,10.7554/eLife.104921.4,Phase-specific premotor inhibition modulates leech rhythmic motor output,42.54960812820889,11.939759044238674,14.483606550317257,False,False,True,True,8
10.1101/2024.12.04.626811,10.3389/fmicb.2025.1643257,Gut MicrobiotAware: how much do we know about gut microbiota? An international questionnaire.,40.98694939761637,11.245553161932818,14.585243996652867,True,False,False,True,11
10.1101/2024.12.05.627005,10.1093/molbev/msag002,Phylodynamic inference on single-cell data,43.55544898122844,11.888526658668933,14.803323917779181,False,True,True,True,3
10.1101/2024.12.06.627090,10.1038/s42003-026-09515-z,Single-cell analysis reveals multi-faceted features of B cell development together with age-associated B cell subpopulations,43.985887643637426,11.05321164998853,14.438641261563724,True,False,True,True,21
10.1101/2024.12.11.627930,10.1073/pnas.2427240123,Sex-allocation trade-offs and their genetic architecture revealed by experimental evolution,49.08761805289282,9.97069147884984,13.420210227918796,True,True,True,True,7
10.1101/2024.12.16.628816,10.1073/pnas.2500436123,Synergistic Neural Circuits for Novelty and Goal-Directed Behavior,27.735504427207047,12.979109346571231,16.847356241807624,False,False,True,True,17
10.1101/2024.12.19.629375,10.1038/s42003-025-09445-2,Human class B1 GPCR modulation by plasma membrane lipids,44.25553573862268,12.370526614138797,15.666321805856544,False,False,False,True,13
10.1101/2024.12.20.629850,10.1161/CIRCRESAHA.124.325999,Location-Dependent Differences in Cardiac and Skeletal Muscle Dysfunction Associated With Truncating Titin (ttn.2) Variants,47.03837357531475,11.078981242471176,14.605827144804946,False,False,False,True,7
10.1101/2024.12.23.627604,10.3758/s13428-025-02823-y,"Collecting, detecting and handling non-wear intervals in longitudinal light exposure data",42.7855916295122,12.52298339933039,15.764321693248352,False,True,True,True,20
10.1101/2024.12.23.630084,10.1038/s41467-025-68277-0,Critical Scaling of Novelty in the Cortex,38.96232590878091,11.775885210157327,14.933486228194893,True,True,True,True,13
10.1101/2024.12.28.630610,10.1038/s41598-025-33902-x,Migrastatic Therapy as a Potential Game-Changer inAdaptive Cancer Treatment,38.72696592881542,11.677043820028995,14.953704498653082,False,True,False,True,5
10.1101/2025.01.01.630982,10.1037/aca0000818,The Artists' Brain: A Data Fusion Approach to Characterize the Neural Bases of Professional Visual Artists,36.77346024464836,11.740652905198775,15.186422018348622,True,False,False,True,32
10.1101/2025.01.02.631135,10.1038/s41588-025-02497-4,Impact of Segmentation Errors in Analysis of Spatial Transcriptomics Data.,41.688523974926056,11.405595451955175,14.250097600246036,False,True,True,True,5
