doi_type,doi,title,citation_count
published_doi,10.1016/j.ibmb.2026.104497,Morphogen-driven melanin pathway dynamics regulated by 	Wnt1 and	apontic-like underlie larval spot coloration in Bombyx mori,
biorxiv_doi,10.1101/2023.10.29.564555,Co-regulator activity of Mediator of DNA Damage Checkpoint 1 (MDC1) is associated with DNA repair dysfunction and PARP inhibitor sensitivity in lobular carcinoma of the breast,5
published_doi,10.1158/0008-5472.CAN-25-1217,Co-regulator activity of Mediator of DNA Damage Checkpoint 1 (MDC1) is associated with DNA repair dysfunction and PARP inhibitor sensitivity in lobular carcinoma of the breast,1
biorxiv_doi,10.1101/2024.06.07.597917,p53 enables phospholipid headgroup scavenging,0
published_doi,10.1038/s41556-025-01853-0,p53 enables phospholipid headgroup scavenging,2
biorxiv_doi,10.1101/2025.04.29.650608,Inflammasome Activation in Cutaneous Squamous Cell Carcinoma,0
published_doi,10.1091/mbc.E25-04-0181,Inflammasome Activation in Cutaneous Squamous Cell Carcinoma,0
biorxiv_doi,10.1101/2025.07.29.667383,Click. Screen. Degrade. A Miniaturized D2B Workflow for rapid PROTAC Discovery,1
published_doi,10.1021/acs.jmedchem.5c02543,Click. Screen. Degrade. A Miniaturized D2B Workflow for rapid PROTAC Discovery,
biorxiv_doi,10.1101/2022.06.06.495023,Sound Frequency Predicts the Bodily Location of Auditory-Induced Tactile Sensations in Synesthetic and Ordinary Perception,
published_doi,10.1093/nc/niaf064,Sound Frequency Predicts the Bodily Location of Auditory-Induced Tactile Sensations in Synesthetic and Ordinary Perception,1
biorxiv_doi,10.1101/2022.11.20.517270,Systematic Approach Identifies Multiple Transcription Factor Perturbations That Rejuvenate Replicatively Aged Human Skin Fibroblasts,5
published_doi,10.1073/pnas.2515183123,Systematic Approach Identifies Multiple Transcription Factor Perturbations That Rejuvenate Replicatively Aged Human Skin Fibroblasts,1
biorxiv_doi,10.1101/2025.08.11.669771,"Daclatasvir, a symmetric drug for an anti-symmetric target",0
published_doi,10.29356/jmcs.v70i1.2393,"Daclatasvir, a symmetric drug for an anti-symmetric target",
biorxiv_doi,10.1101/2025.04.15.648987,"Accelerated, Accurate, Hybrid Short and Long Reads Alignment and Variant Calling",0
published_doi,10.3389/fbinf.2025.1691056,"Accelerated, Accurate, Hybrid Short and Long Reads Alignment and Variant Calling",0
biorxiv_doi,10.1101/2024.05.12.593008,"Migration, proliferation, and elasticity of bladder cancer cells on lectin-coated surfaces",2
published_doi,10.1016/j.bios.2026.118410,"Migration, proliferation, and elasticity of bladder cancer cells on lectin-coated surfaces",1
biorxiv_doi,10.64898/2026.01.10.698837,Differentiating Causes of Post-Surgical Conductive Hearing Loss with Optical Coherence Tomography Vibrometry,0
published_doi,10.1007/s10162-025-01027-7,Differentiating Causes of Post-Surgical Conductive Hearing Loss with Optical Coherence Tomography Vibrometry,
biorxiv_doi,10.1101/2025.05.28.656585,Rab2 and Arl8/BORC control retrograde axonal transport of dense core vesicles via Syd/dJIP3/4 and RUFY dynein adaptors,0
published_doi,10.1083/jcb.202507071,Rab2 and Arl8/BORC control retrograde axonal transport of dense core vesicles via Syd/dJIP3/4 and RUFY dynein adaptors,0
biorxiv_doi,10.1101/2024.10.30.620813,Overcoming the widespread flaws in the annotation of vertebrate selenoprotein genes in public databases,
published_doi,10.1371/journal.pcbi.1013885,Overcoming the widespread flaws in the annotation of vertebrate selenoprotein genes in public databases,2
biorxiv_doi,10.1101/2025.01.02.631135,Impact of Segmentation Errors in Analysis of Spatial Transcriptomics Data.,14
published_doi,10.1038/s41588-025-02497-4,Impact of Segmentation Errors in Analysis of Spatial Transcriptomics Data.,8
biorxiv_doi,10.1101/2025.10.29.685273,"Early-life social instability affects aggression, but not response inhibition, in chickens",
published_doi,10.1007/s10211-025-00477-9,"Early-life social instability affects aggression, but not response inhibition, in chickens",1
biorxiv_doi,10.1101/2024.06.09.598134,Age-associated increased stiffness of the ovarian microenvironment impairs follicle development and oocyte quality and rapidly alters follicle gene expression,13
published_doi,10.1093/reprod/xaaf026,Age-associated increased stiffness of the ovarian microenvironment impairs follicle development and oocyte quality and rapidly alters follicle gene expression,4
biorxiv_doi,10.1101/2025.08.08.669371,Cell-type-selective synaptogenesis during the development of excitatory connectivity in the mammalian neocortex,0
published_doi,10.1016/j.celrep.2025.116792,Cell-type-selective synaptogenesis during the development of excitatory connectivity in the mammalian neocortex,1
biorxiv_doi,10.1101/2025.05.14.654067,Parallel morphological and functional development in the Xenopus retinotectal system,
published_doi,10.1002/dneu.70007,Parallel morphological and functional development in the Xenopus retinotectal system,0
biorxiv_doi,10.1101/2024.09.11.612086,Identification of Proteins Influencing CRISPR-Associated Transposases for Enhanced Genome Editing,4
published_doi,10.1126/sciadv.aea1429,Identification of Proteins Influencing CRISPR-Associated Transposases for Enhanced Genome Editing,
biorxiv_doi,10.1101/2024.09.13.612835,RoCi - A Single Step Multi-Copy Integration System Based on Rolling-Circle Replication,0
published_doi,10.1093/nar/gkaf1488,RoCi - A Single Step Multi-Copy Integration System Based on Rolling-Circle Replication,0
biorxiv_doi,10.1101/2025.01.05.631374,Cycling Molecular Assemblies for Selective Cancer Cell Golgi Disruption,2
published_doi,10.1038/s41467-026-68768-8,Cycling Molecular Assemblies for Selective Cancer Cell Golgi Disruption,0
biorxiv_doi,10.1101/2025.03.22.644466,Optoretinography reveals rapid rod photoreceptor movement upon photoisomerization,5
published_doi,10.1038/s41377-025-02149-6,Optoretinography reveals rapid rod photoreceptor movement upon photoisomerization,0
biorxiv_doi,10.1101/2024.11.22.624903,Neuronal heterogeneity of normalization strength in a circuit model,2
published_doi,10.1126/sciadv.adv9396,Neuronal heterogeneity of normalization strength in a circuit model,0
biorxiv_doi,10.1101/2025.04.01.646591,Real-time imaging of rotation during synthesis by the replisome,2
published_doi,10.1126/sciadv.adx4089,Real-time imaging of rotation during synthesis by the replisome,1
biorxiv_doi,10.1101/2024.03.29.585638,Shape dynamics and migration of branched cells on complex networks,4
published_doi,10.1126/sciadv.ads2734,Shape dynamics and migration of branched cells on complex networks,
biorxiv_doi,10.1101/2025.03.13.642599,Suspension physics govern the multiscale dynamics of blood flow in sickle cell disease,0
published_doi,10.1126/sciadv.adx3842,Suspension physics govern the multiscale dynamics of blood flow in sickle cell disease,0
biorxiv_doi,10.1101/2025.02.27.640622,Restoration of ovarian endocrine function with encapsulated immune isolated human ovarian xenograft in ovariectomized mice,3
published_doi,10.1126/sciadv.adx6348,Restoration of ovarian endocrine function with encapsulated immune isolated human ovarian xenograft in ovariectomized mice,1
biorxiv_doi,10.1101/2025.04.29.651251,NF2 loss malignantly transforms human pancreatic acinar cells and enhances cell fitness under environmental stress,0
published_doi,10.1172/JCI194395,NF2 loss malignantly transforms human pancreatic acinar cells and enhances cell fitness under environmental stress,1
biorxiv_doi,10.1101/2025.03.24.645017,Inherited resilience to clonal hematopoiesis by modifying stem cell RNA regulation,2
published_doi,10.1126/science.adx4174,Inherited resilience to clonal hematopoiesis by modifying stem cell RNA regulation,3
biorxiv_doi,10.1101/2025.07.07.663491,Genomic and morphometric evidence for Austronesian-mediated pig translocation in the Pacific,0
published_doi,10.1126/science.adv4963,Genomic and morphometric evidence for Austronesian-mediated pig translocation in the Pacific,2
biorxiv_doi,10.1101/2025.10.07.681006,Unmasking Early Microglial Remodeling in an Alzheimer's Disease Mouse Model,
published_doi,10.3389/fncel.2025.1720382,Unmasking Early Microglial Remodeling in an Alzheimer's Disease Mouse Model,1
biorxiv_doi,10.1101/2025.10.01.679864,Identification of antifungal agents AR-12 and Fosmanogepix as anti-Trypanosoma cruzi drugs through an enhanced fluorogenic Î²-galactosidase phenotypic screening assay,0
published_doi,10.1021/acsinfecdis.5c00900,Identification of antifungal agents AR-12 and Fosmanogepix as anti-Trypanosoma cruzi drugs through an enhanced fluorogenic Î²-galactosidase phenotypic screening assay,
biorxiv_doi,10.1101/2025.10.14.682267,Clinical-grade Plant-made nanomaterials: from Process Design to the construction of a Manufacturing facility.,
published_doi,10.3389/fpls.2025.1724810,Clinical-grade Plant-made nanomaterials: from Process Design to the construction of a Manufacturing facility.,1
biorxiv_doi,10.1101/2025.08.22.671799,Pox-AbDab: the Orthopoxvirus Antibody Database,0
published_doi,10.3389/fimmu.2025.1698441,Pox-AbDab: the Orthopoxvirus Antibody Database,
biorxiv_doi,10.1101/2025.06.30.661957,MagPiezo: a Magnetogenetic Platform for Remote Activation of Endogenous Piezo1 Channels in Endothelial Cells,
published_doi,10.1002/adfm.202529076,MagPiezo: a Magnetogenetic Platform for Remote Activation of Endogenous Piezo1 Channels in Endothelial Cells,3
biorxiv_doi,10.1101/2025.10.03.680230,PymolFold: A PyMOL Plugin for API-driven Structure Prediction and Quality Assessment,0
published_doi,10.1021/acs.jcim.5c02410,PymolFold: A PyMOL Plugin for API-driven Structure Prediction and Quality Assessment,
