word_count;sentence_count;flesch_reading_ease;gunning_fog;flesch_kincaid_grade;avg_sentence_length;avg_letter_per_word;lexicon_count;figure_count;table_count;section_count;reference_count;doi;preprint_date;preprint_category;published_doi;published_flag;citation_count;influential_citation_count;semantic_year;semantic_journal;status
3986;170;24.46691607211585;18.882545960508008;15.654050504751474;23.376470588235293;5.586311021640665;3974;6;0;17.0;24.0;10.1101/037937;2016-01-26;Neuroscience;;0;91.0;12.0;2016.0;Journal of Neurophysiology;200
3725;221;38.87076712560142;14.78445113256805;11.99346306226034;16.728506787330318;5.2910467946984046;3697;4;3;16.0;34.0;10.1101/038026;2016-01-27;Neuroscience;;0;5.0;0.0;2016.0;bioRxiv;200
6431;342;29.274013857345068;16.530107633060137;13.822227049800864;18.70175438596491;5.568323952470294;6396;11;3;26.0;55.0;10.1101/038778;2016-02-03;Neuroscience;;0;8.0;1.0;2016.0;bioRxiv;200
6770;274;27.57020460997381;18.98841767997113;15.503040174243448;24.51094890510949;5.355568790946992;6716;8;1;16.0;42.0;10.1101/039032;2016-02-14;Neuroscience;;0;7.0;0.0;2016.0;bioRxiv;200
5440;230;33.59105308094436;17.023932176795054;14.440188042877846;23.61304347826087;5.28631927821764;5431;1;0;12.0;39.0;10.1101/039354;2016-02-09;Neuroscience;;0;150.0;5.0;2016.0;PLoS Biology;200
3864;206;45.11715636707893;13.856673246585828;11.616573842807076;18.718446601941743;5.160269709543568;3856;4;0;12.0;24.0;10.1101/039842;2016-06-02;Neuroscience;;0;19.0;0.0;2016.0;bioRxiv;200
8163;444;42.56142015445445;15.103434539082858;11.866743885555302;18.29054054054054;5.165004309814062;8121;10;0;28.0;107.0;10.1101/040642;2016-03-22;Neuroscience;;0;11.0;2.0;2016.0;bioRxiv;200
7632;341;26.92329631066252;18.458511959341063;15.028491861135596;22.237536656891496;5.587893973361466;7583;11;2;25.0;56.0;10.1101/041186;2016-02-24;Neuroscience;;0;2.0;0.0;2019.0;bioRxiv;200
7012;330;34.67397716419208;16.27149431275506;13.677629591039334;21.151515151515152;5.179226361031518;6980;12;0;9.0;38.0;10.1101/041301;2016-02-26;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
7496;406;35.63568090384874;15.52703136736006;12.85173878017217;18.366995073891623;5.404854499128335;7457;8;3;19.0;112.0;10.1101/041368;2016-02-26;Neuroscience;;0;119.0;5.0;2016.0;Neuropsychologia;200
2799;166;41.14110028984882;14.29432631783868;11.688871211957345;16.77710843373494;5.198204667863555;2785;3;0;14.0;26.0;10.1101/042416;2016-03-04;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
6404;313;41.19791663955033;15.633190392707926;12.578433964134351;20.38977635782748;4.98025697273582;6382;10;0;13.0;16.0;10.1101/043273;2016-03-11;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
2972;122;31.559031588988237;18.027391911976757;14.876761241376254;24.229508196721312;5.349458728010825;2956;2;0;12.0;12.0;10.1101/043281;2016-03-11;Neuroscience;;0;4.0;0.0;2016.0;bioRxiv;200
8228;371;26.371378251646803;18.60309361659144;15.012981759411367;21.86522911051213;5.555596646942801;8112;14;6;30.0;62.0;10.1101/044156;2016-03-16;Neuroscience;;0;47.0;2.0;2016.0;bioRxiv;200
7385;335;33.73852975951539;17.505470852745237;14.012960405794988;21.976119402985077;5.36946481934257;7362;6;1;17.0;46.0;10.1101/044438;2016-03-17;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
5828;261;29.778097805307027;18.349812384470763;14.637921858066154;22.26819923371648;5.390743289745354;5812;4;0;19.0;52.0;10.1101/045336;2016-03-23;Neuroscience;;0;83.0;4.0;2016.0;bioRxiv;200
3634;153;25.955502648930377;17.887495321182808;15.536376220091562;23.73856209150327;5.581497797356828;3632;6;0;10.0;37.0;10.1101/045856;2016-04-07;Neuroscience;;0;34.0;1.0;2016.0;bioRxiv;200
5742;276;37.2582385730212;16.116338411990586;13.117518270779144;20.347826086956523;5.183938746438747;5616;4;0;14.0;54.0;10.1101/045898;2016-03-26;Neuroscience;;0;6.0;1.0;2016.0;bioRxiv;200
5197;271;45.4587057111724;14.362311814183698;11.6590478691482;19.08118081180812;5.13034229356024;5171;12;0;15.0;49.0;10.1101/045963;2016-03-27;Neuroscience;;0;8.0;0.0;2016.0;bioRxiv;200
2712;139;32.7426087094926;16.786617431718344;13.539415122769046;19.510791366906474;5.4863569321533925;2712;5;0;1.0;34.0;10.1101/045989;2016-03-27;Neuroscience;;0;11.0;0.0;2016.0;bioRxiv;200
6803;353;41.03704920883908;15.960359341919991;12.30417208210281;19.19546742209632;5.140495867768595;6776;0;0;40.0;68.0;10.1101/047936;2016-04-09;Neuroscience;;0;5.0;0.0;2016.0;bioRxiv;200
7592;331;32.923446937222934;17.608019745773568;14.35098708522047;22.87915407854985;5.327479202429684;7573;7;0;18.0;33.0;10.1101/048645;2016-04-13;Neuroscience;;0;12.0;4.0;2016.0;bioRxiv;200
3894;195;32.456498963363345;17.13710284892925;13.66390906742444;19.85128205128205;5.374063549470421;3871;4;1;10.0;39.0;10.1101/048918;2016-04-14;Neuroscience;;0;3.0;0.0;2016.0;i-Perception;200
5324;268;42.09423571942796;14.802352461014337;12.269448985607475;19.649253731343283;4.944929737941512;5266;9;2;15.0;29.0;10.1101/049429;2016-04-19;Neuroscience;;0;66.0;5.0;2016.0;bioRxiv;200
3642;177;39.23528742091733;16.514189464669982;12.824123805790766;20.27683615819209;5.195319030370577;3589;5;0;9.0;34.0;10.1101/051730;2016-05-04;Neuroscience;;0;2.0;0.0;2016.0;bioRxiv;200
7192;328;27.62233911790165;17.6500391562851;14.784877460577524;21.64939024390244;5.559921137867906;7101;7;0;16.0;75.0;10.1101/051771;2016-05-04;Neuroscience;;0;8.0;0.0;2016.0;bioRxiv;200
5936;233;19.13941236074797;19.55201052870645;16.87616141881308;25.30472103004292;5.568351424694709;5896;8;3;16.0;19.0;10.1101/052589;2016-05-10;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
2947;149;30.84936992273998;16.94142450064326;13.853323004572534;19.711409395973156;5.545454545454546;2937;8;3;26.0;32.0;10.1101/053413;2016-05-16;Neuroscience;;0;64.0;5.0;2016.0;Cell reports;200
3747;151;25.26011263228241;19.490717515902176;15.899034201603126;24.807947019867548;5.415910304324613;3746;8;0;26.0;76.0;10.1101/053595;2016-05-15;Neuroscience;;0;9.0;0.0;2016.0;bioRxiv;200
2617;98;17.089829611089726;19.42556796303427;17.458977666538313;26.5;5.850211782826338;2597;2;1;14.0;39.0;10.1101/053959;2016-05-17;Neuroscience;;0;4.0;0.0;2016.0;bioRxiv;200
3387;235;52.46400265072799;12.68064466734007;9.437614035990707;14.072340425531914;4.959782280012096;3307;6;0;12.0;63.0;10.1101/054759;2016-05-21;Neuroscience;;0;3.0;0.0;2016.0;bioRxiv;200
5711;259;13.693248261524133;19.591238832618146;16.77356219425185;21.833976833976838;6.053757736516357;5655;5;1;24.0;50.0;10.1101/055566;2016-05-25;Neuroscience;;0;201.0;4.0;2016.0;Neuron;200
4606;246;40.60674383722446;15.203086822312072;12.127795748010955;18.24390243902439;5.345142602495543;4488;6;1;17.0;57.0;10.1101/055657;2016-05-27;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
3347;163;25.31436338206268;18.616815476737475;14.81591875668543;20.478527607361965;5.809466746554823;3338;4;0;5.0;22.0;10.1101/055822;2016-05-27;Neuroscience;;0;4.0;1.0;2016.0;bioRxiv;200
6518;346;22.92717104817862;17.43428860220294;14.660234665836391;18.51156069364162;5.778454332552693;6405;6;0;5.0;104.0;10.1101/056424;2016-05-31;Neuroscience;;0;10.0;0.0;2016.0;bioRxiv;200
